62,2421
622,1
624,1
625,2
627,1
628,4
629,1
63,2185
632,1
634,1
636,2
637,2
64,2121
640,3
642,1
645,2
646,1
647,1
649,1
65,2350
652,1
653,1
654,1
655,2
656,1
66,1943
660,1
664,1
665,1
666,2
67,1904
671,1
672,1
673,2
675,1
676,1
677,2
678,1
68,1806
680,1
682,1
683,2
685,1
686,1
687,1
69,1623
695,1
697,2
7,675413
70,1738
701,1
703,1
705,2
709,1
71,1611
710,1
712,1
716,2
718,1
719,1
72,1471
724,1
73,1410
731,1
74,1334
740,2
743,1
745,1
746,1
748,1
75,1377
751,1
752,2
756,1
758,1
759,1
76,1236
762,1
765,2
767,2
77,1170
771,1
773,1
774,1
776,2
78,1134
783,2
784,2
785,1
79,1022
796,1
798,1
8,488641
80,1151
809,1
81,1029
82,905
820,1
83,892
832,1
835,1
836,1
839,2
84,877
85,929
859,1
86,801
863,1
866,2
868,1
87,804
879,1
88,760
888,1
89,756
890,1
9,363860
90,694
906,1
91,722
92,677
920,1
93,610
935,1
939,2
94,569
940,1
95,670
958,1
96,533
9667,1
97,520
978,1
98,492
987,1
989,1
99,524
995,1
